
[00:00:00.000 --> 00:00:02.000]   Parson
[00:02:11.040 --> 00:02:19.400]   Reliance on any information appearing and discussing this video solely at everyone's own risks statements made have not been evaluated by the FSA or FDA or any
[00:02:19.660 --> 00:02:28.440]   Governmental derivatives thereof quantum upgrade products and products that quantum upgrade may represent are not intended to diagnose treat cure or prevent any disease
[00:02:28.440 --> 00:02:35.220]   All righty, so with that said I think real quick if anybody who sees this and it and and Philip
[00:02:35.220 --> 00:02:41.580]   This is what I wanted to know or if you could just start off with you know an overview like if somebody's brand new to own quantum upgrade
[00:02:41.580 --> 00:02:45.860]   What is your like elevator pitch when someone says what is that?
[00:02:45.860 --> 00:02:52.260]   I mean, do you have like a five-minute spiel that kind of just broad strokes what it is and then we'll jump into the Q&A
[00:02:52.260 --> 00:02:59.880]   Yes, I would call it a quantum energy streaming service that basically takes
[00:02:59.880 --> 00:03:02.420]   pure quantum energy
[00:03:02.420 --> 00:03:06.180]   Right to your home or to your pet your car
[00:03:06.180 --> 00:03:13.620]   To your phone or to yourself or even to your business so that those are the different options
[00:03:13.620 --> 00:03:16.780]   You can book it works through quantum entanglement
[00:03:16.780 --> 00:03:24.660]   Which quantum entanglement really isn't a new concept at all it has been proven multiple times in a lab and we've
[00:03:24.660 --> 00:03:32.200]   Actually proven this multiple times already not just in experiments and tests, but there were even
[00:03:32.200 --> 00:03:39.580]   Randomized double blind studies that were done that showed 100% effectiveness in a significant way
[00:03:39.860 --> 00:03:43.220]   we talked about that in the previous video and
[00:03:43.220 --> 00:03:46.660]   Yeah, that's in a nutshell what it is. It sounds
[00:03:46.660 --> 00:03:52.300]   Crazy, but you know, hey, yeah, I think if you go back to the
[00:03:52.300 --> 00:03:55.060]   1600s and you would
[00:03:55.060 --> 00:04:00.820]   You know, just tell a story how you called your friend with a cell phone while you were on the way
[00:04:00.820 --> 00:04:06.460]   They wouldn't believe you you couldn't probably really explain it. Well, you would tell them. Yeah, it does work
[00:04:06.460 --> 00:04:08.460]   They would tell you know, it does not work well
[00:04:09.420 --> 00:04:12.060]   You know, that's pretty much what it is and
[00:04:12.060 --> 00:04:16.860]   You know, it does work. It can be proven
[00:04:16.860 --> 00:04:23.580]   It's just very very cutting edge cool. Yeah, and you know, I think the for the general layman
[00:04:23.580 --> 00:04:27.180]   Like you know, you're you're like almost a social media star at this point
[00:04:27.180 --> 00:04:31.300]   You're you're on so many interviews so many different channels
[00:04:31.300 --> 00:04:37.100]   But I think there's there are a lot of people that are brand new the concept of quantum energy and quantum healing
[00:04:37.620 --> 00:04:39.620]   So for those of you who are new to it
[00:04:39.620 --> 00:04:43.860]   You know, it kind of falls under the classification also known as frequency medicine
[00:04:43.860 --> 00:04:50.820]   So there's a lot of content on YouTube and on the internet on these keywords, you know, quantum healing frequency medicine
[00:04:50.820 --> 00:04:54.700]   Quantum energy and and I just want to differentiate that from the physics
[00:04:54.700 --> 00:05:02.060]   Academia physics standpoint, but if you want to learn more about quantum healing and quantum entanglement and what this process is
[00:05:02.060 --> 00:05:06.500]   Then by all means do the research on those keywords also if you go to my blog
[00:05:06.500 --> 00:05:11.420]   I've got a library of reference material that you can access that you can read
[00:05:11.420 --> 00:05:16.700]   There's like I basically plucked as many different books as I could find on this subject
[00:05:16.700 --> 00:05:22.380]   So you can kind of read what people like Deepak Chopra have said about it and other really renowned authors
[00:05:22.380 --> 00:05:28.980]   Have talked about this this specific topic. So, you know, it is real. It's been out there. It's nothing new real
[00:05:28.980 --> 00:05:34.460]   Honestly, nothing new it's been around for a few decades, you know, but like to Phillips example though
[00:05:34.460 --> 00:05:36.460]   It is true, you know, I try to imagine
[00:05:36.460 --> 00:05:43.740]   Explaining a cell phone to someone a hundred years ago. So yeah, it is so new that there's the terminology in the language
[00:05:43.740 --> 00:05:48.620]   It's just now starting to form but there is a library of resources out there
[00:05:48.620 --> 00:05:51.320]   It's already on the internet and I also have some on my blog
[00:05:51.320 --> 00:05:56.660]   So come on over and learn more about it and don't don't ever hesitate ask questions. So thank you very much
[00:05:56.660 --> 00:06:00.220]   Let's jump in with the first set of questions. That's the thing everyone's really
[00:06:00.220 --> 00:06:03.340]   Interested in is this Q&A when I announced we're gonna do it
[00:06:03.740 --> 00:06:07.100]   Okay, so first things first, you know when someone goes to your website
[00:06:07.100 --> 00:06:13.420]   And they go here and they say oh hey great. I want to go ahead and pick something
[00:06:13.420 --> 00:06:18.140]   I'm interested. This is, you know, this sounds great. Oh free trial great. Let's go ahead and I want to do it
[00:06:18.140 --> 00:06:20.920]   You know, so then they click on this and there's all these options
[00:06:20.920 --> 00:06:28.780]   Right and so let's talk about these different options because it's like it is there's been a kind of a lot of questions around it
[00:06:28.780 --> 00:06:33.300]   You know in terms of like well if it's if it's you if I pick you, you know, myself
[00:06:33.300 --> 00:06:39.980]   My pet my car my home I cell phone my business or I do a bundle, you know, you know
[00:06:39.980 --> 00:06:41.980]   And there's been a lot of clarifying questions
[00:06:41.980 --> 00:06:47.080]   And all the answers are by the way on telegram Phillips is responding to all of the questions
[00:06:47.080 --> 00:06:53.140]   But you know for those of you who know telegram is really hard to kind of find what you're looking for. It's not the best
[00:06:53.140 --> 00:06:57.060]   It's more, you know, it's not really designed for that. That's why we do these Q&As and tutorials
[00:06:57.460 --> 00:07:02.340]   So let's talk about that. And so what I did guys was I went through the first two weeks of
[00:07:02.340 --> 00:07:08.860]   All of the different discussions in the group on telegram and I plucked out all the categories of different questions
[00:07:08.860 --> 00:07:14.420]   And here we go. So first one Phillip when someone chooses you there are questions around that
[00:07:14.420 --> 00:07:19.620]   And so there's the first one of the first questions was is you know, is it what is you exactly?
[00:07:19.620 --> 00:07:24.220]   Is it a field right? Is there a field around me like if I had a capsule, right?
[00:07:24.220 --> 00:07:26.700]   If I'm wearing a capsule or I carry a card
[00:07:26.700 --> 00:07:32.660]   Is there a field around me or is it just my physical body and it doesn't extend past my skin?
[00:07:32.660 --> 00:07:39.100]   You know in terms of like that's the quantum energies going towards me me as a person
[00:07:39.100 --> 00:07:45.220]   Yes, good question. So in essence, we are only
[00:07:45.220 --> 00:07:48.740]   Energy and frequency, okay
[00:07:48.820 --> 00:07:55.860]   So that is the first thing we need to understand the physical body is kind of what's calling almost secondary, right?
[00:07:55.860 --> 00:07:57.620]   It's kind of like what we
[00:07:57.620 --> 00:08:03.060]   Experience all the time and this is our physical reality, but the body itself is energy and
[00:08:03.060 --> 00:08:07.940]   Your energetic system, how I like to call it
[00:08:07.940 --> 00:08:17.540]   Could call it energy bodies. It's all way more and bigger than the physical so it extends beyond that
[00:08:18.820 --> 00:08:25.240]   It's actually it depends on the person, but you could you could even see our that's a few meters
[00:08:25.240 --> 00:08:27.740]   you know
[00:08:27.740 --> 00:08:31.020]   Into all directions, right at least one to two meters
[00:08:31.020 --> 00:08:39.900]   So that's your whole energetic system and that is basically getting the charge and with that the physical body is getting the charge
[00:08:39.900 --> 00:08:44.700]   Also and the benefits therefore are fully energetic and
[00:08:45.340 --> 00:08:49.540]   Translate in the into the physical as well where they are very measurable. So
[00:08:49.540 --> 00:08:52.800]   That's in a nutshell what it is and really it
[00:08:52.800 --> 00:09:00.580]   It supports every aspect of your being the you service and therefore it is also the most powerful
[00:09:00.580 --> 00:09:05.220]   Of all the services and and even compared to
[00:09:05.220 --> 00:09:08.700]   Two blogs that that is possible
[00:09:09.700 --> 00:09:15.980]   Okay, if you're just concerned about yourself and you know, you want something really good for yourself
[00:09:15.980 --> 00:09:21.180]   you want your energy support then that is the service you want to
[00:09:21.180 --> 00:09:25.620]   Choose and not the home service because the home service is
[00:09:25.620 --> 00:09:31.740]   Is less powerful for yourself however, it has than other benefits, right? Because what if you?
[00:09:31.740 --> 00:09:39.580]   live together with three four roommates or your family of six and you know, you don't
[00:09:40.220 --> 00:09:46.260]   You really want to have a feel that home for everyone then that the home service would be good
[00:09:46.260 --> 00:09:50.700]   That's how I would distinguish the two. Okay. Okay. Yeah, so it's definitely your
[00:09:50.700 --> 00:09:57.740]   Physical slash and and well more so your energetic body because your energetic body is the bubble all around you
[00:09:57.740 --> 00:10:03.700]   So okay, so it's so you means you your energetic body so then the next question that
[00:10:03.700 --> 00:10:08.420]   Came up around that one was what if I'm carrying something?
[00:10:08.740 --> 00:10:13.540]   You know, is that is or I'm laying next to my spouse because we're right next to each other
[00:10:13.540 --> 00:10:17.940]   They're technically in my within my my bubble right my energetic bubble
[00:10:17.940 --> 00:10:25.420]   Would they also be receiving that energy if there if if something another living thing is like within like my reach in my touch?
[00:10:25.420 --> 00:10:28.660]   No, but
[00:10:28.660 --> 00:10:30.740]   they would certainly
[00:10:30.740 --> 00:10:38.720]   Receive and observe and perceive your energy and your expanded energy and all of that and that
[00:10:38.740 --> 00:10:45.020]   That happens anyway, even without the quantum upgrade right if you're together with your spouse, you know, you're ours
[00:10:45.020 --> 00:10:47.700]   You know are almost like a little bit
[00:10:47.700 --> 00:10:57.180]   Together and all of that and and she can feel you and you can feel her and so on and and it's just that your energy field is
[00:10:57.180 --> 00:11:03.740]   Vibrating at a higher consciousness level and then if you walk into a grocery store for example
[00:11:03.740 --> 00:11:07.020]   You're appearing more
[00:11:07.460 --> 00:11:11.100]   Shiny or you know, there's with a higher vibration
[00:11:11.100 --> 00:11:15.300]   So it's it's just there's a field around you that may that other people may
[00:11:15.300 --> 00:11:22.460]   Observe and resonate with even right so that's that's what happens, but they don't get the energy themselves
[00:11:22.460 --> 00:11:29.380]   Okay, all right that makes sense. Okay. Yeah, okay, so it's sort of yet. Yeah, I think you hit it right on the on the nail right
[00:11:29.380 --> 00:11:37.060]   It's it's everybody resonates at a different vibrational frequency. You know, we all know we have our energy energy vibrates
[00:11:37.700 --> 00:11:44.460]   Frequency and so it's tuned into you your frequency. So even if you're like touching something, it's still just you
[00:11:44.460 --> 00:11:49.660]   But yeah, okay, but the other person perceives it. So that's very that's okay. That's good. Okay, so then we have people
[00:11:49.660 --> 00:11:54.180]   Internationally, I mean there's all these different folks live in in different countries and some folks have said, you know
[00:11:54.180 --> 00:11:58.500]   Does it work from you know, whatever Antarctica or Europe and Asia?
[00:11:58.500 --> 00:12:05.780]   It doesn't matter right anywhere on the planet where you are because it's quantum. It's gonna reach you through entanglement, right?
[00:12:05.780 --> 00:12:13.140]   Is that correct? Absolutely. Okay. So anywhere on the planet and and more and and we can guess that it's gonna be anywhere in the universe as well
[00:12:13.140 --> 00:12:18.340]   But you know just this quantum is quantum. Okay, so it's and you anywhere you live on this planet
[00:12:18.340 --> 00:12:21.860]   You can search sign up for the service and it will reach you through entanglement
[00:12:21.860 --> 00:12:27.380]   Which also includes that you know, somebody did ask like what if I'm traveling and so yeah, it doesn't matter, right?
[00:12:27.380 --> 00:12:30.660]   It doesn't matter if you're moving around or in another country anywhere, right?
[00:12:30.820 --> 00:12:36.700]   Okay, so then another a big a big question about is what name do I use when I sign myself up?
[00:12:36.700 --> 00:12:41.580]   So it's the birth name or your current name now if you've changed your name due to marriage or whatever
[00:12:41.580 --> 00:12:47.900]   So what is the name people should use and should they use their full name like their middle name?
[00:12:47.900 --> 00:12:50.380]   You know and whatever follows it
[00:12:50.380 --> 00:12:53.820]   Which name yes supposed to register with
[00:12:55.300 --> 00:13:01.420]   The current name that is the one that you use not your birth name. However, if you're
[00:13:01.420 --> 00:13:05.020]   You have a birth name and you just have your cart name
[00:13:05.020 --> 00:13:11.660]   But you really identify more with your birth name and you're about to change it back to that then choose that that's really
[00:13:11.660 --> 00:13:21.500]   a unique situation than for you other than that choose your current name choose the exact name so exact first name and exact last name and
[00:13:22.340 --> 00:13:30.180]   If you want to include your middle name at least one you can if you have like four or five middle names
[00:13:30.180 --> 00:13:38.700]   You you don't have to include all of those like you will you have a unique identifier already through your first and last name and your birth date and
[00:13:38.700 --> 00:13:40.700]   the birth city
[00:13:40.700 --> 00:13:46.820]   So that's that's all good, but you can definitely include one middle name if you have one or more middle names
[00:13:46.820 --> 00:13:53.460]   Sure, and what I'm not hard. Okay, and then so let's say I have a current name. My name is Richard, but I go by Rick
[00:13:53.460 --> 00:14:01.140]   Would I put Rick or what's best for because that's that's a lot of questions about that, you know about what name?
[00:14:01.140 --> 00:14:05.780]   Do I go by my name or my name that people call me by?
[00:14:05.780 --> 00:14:08.180]   So
[00:14:08.180 --> 00:14:11.860]   It would most likely work either way
[00:14:12.420 --> 00:14:17.780]   that's the first thing because it's about a unique identifier and a signal that is set and
[00:14:17.780 --> 00:14:23.460]   If everyone calls you Rick, then that would still identify you
[00:14:23.460 --> 00:14:28.420]   I would I would choose Richard though if that's really written in your password or
[00:14:28.420 --> 00:14:31.620]   or your
[00:14:31.620 --> 00:14:38.260]   Your ID that's what I would personally do. I would choose Richard over Rick or rich
[00:14:38.260 --> 00:14:40.980]   but
[00:14:40.980 --> 00:14:44.180]   Yeah, and it would it would work both ways
[00:14:44.180 --> 00:14:50.740]   Okay, great. Another question is are there any age restrictions like we had a lady wanted to know about
[00:14:50.740 --> 00:14:53.300]   signing up her young child
[00:14:53.300 --> 00:14:59.220]   And you know things like it. So are there any is a person's a person no matter how old?
[00:14:59.220 --> 00:15:06.180]   Yes, that is correct and and frankly, you know from an official standpoint, we don't
[00:15:06.740 --> 00:15:13.540]   Want to really give recommendations in regards to children and all of that. That's always just such a regulated area
[00:15:13.540 --> 00:15:16.420]   But what I can say is that especially children
[00:15:16.420 --> 00:15:24.500]   Obviously can benefit from everything that helps their system to be more in balance right and to be more
[00:15:24.500 --> 00:15:27.700]   protected against
[00:15:27.700 --> 00:15:29.860]   external stressors and
[00:15:29.860 --> 00:15:33.700]   Especially in those younger ages, you know, we still develop
[00:15:33.860 --> 00:15:41.140]   You know our brains develop and all of that and if she can get the best food the best water and the best energy
[00:15:41.140 --> 00:15:44.340]   Who wouldn't want to do that?
[00:15:44.340 --> 00:15:48.420]   Oh, yeah. Yeah, okay. No, that's great. I didn't think so, but you know want to make sure we ask the
[00:15:48.420 --> 00:15:55.780]   The axe ask the expert. Thank you. Okay. Next one here is on the idea of pets of I sign up my pet
[00:15:55.780 --> 00:16:03.220]   So the idea here is is it any kind of pet birds fish dog cat lizards
[00:16:04.420 --> 00:16:06.980]   I mean, these are good. Did it matter? Does it matter?
[00:16:06.980 --> 00:16:15.620]   Yes, so right now we have it only said for dogs and cats. Okay, and we can we can relatively easily
[00:16:15.620 --> 00:16:19.620]   Expanded, you know to horses and things like that
[00:16:19.620 --> 00:16:25.060]   There has to be a unique identifier though. We don't want to work with pictures
[00:16:25.060 --> 00:16:30.100]   So that would be easy with a lizard, you know, if you had a lizard somewhere and you just take a picture
[00:16:30.100 --> 00:16:32.980]   But we don't want to work with that so it would need to be
[00:16:33.620 --> 00:16:39.860]   Unique identifier, which currently for a dog would be the name the
[00:16:39.860 --> 00:16:46.100]   That it's a dog and then what is the breed of the dog and I think it's the
[00:16:46.100 --> 00:16:50.580]   The country at least that we have as well
[00:16:50.580 --> 00:16:55.860]   Possibly the city. I'm not entirely sure and that's what needs to be put in right now
[00:16:55.860 --> 00:17:01.860]   It's just for dogs and cats, but I'm pretty certain that over time will expand that maybe not to lizards
[00:17:01.940 --> 00:17:05.780]   But probably for at least horses and you know
[00:17:05.780 --> 00:17:12.980]   Animals that we may have that that have a name because that would be an identifier
[00:17:12.980 --> 00:17:19.220]   Okay, yeah, okay. So you actually okay, so you need something to tune in on but right now just cats and dogs
[00:17:19.220 --> 00:17:23.620]   I know folks have asked about livestock. So that that addresses that question
[00:17:23.620 --> 00:17:27.700]   Um, the other question is is does uh, is it just one pet?
[00:17:28.420 --> 00:17:32.420]   Or could there be like I have two dogs would I need to sign up both of them individually?
[00:17:32.420 --> 00:17:34.900]   If I wanted them to receive this service
[00:17:34.900 --> 00:17:42.660]   Yes, they would have to be individually because if you sign up one the other one literally would not receive it the same with the use service
[00:17:42.660 --> 00:17:47.300]   It just works for one person. However, and we'll get to that when we talk about the bundles
[00:17:47.300 --> 00:17:55.380]   Yes, I'm exciting and news to share today. Okay, great with us. Okay. So, okay, so it's uh, it's only dogs and cats
[00:17:55.860 --> 00:18:00.820]   Um only one person that's for now one per subscription if you sign up
[00:18:00.820 --> 00:18:03.140]   Just you know if you click on the pets
[00:18:03.140 --> 00:18:05.700]   Um and doesn't have to be my pet
[00:18:05.700 --> 00:18:09.220]   There I think there was a question of you know out there that it was like
[00:18:09.220 --> 00:18:10.900]   Um
[00:18:10.900 --> 00:18:15.380]   You know like this is my roommate's pet, but it's not mine. Can I still sign it up because I love it
[00:18:15.380 --> 00:18:19.620]   You know, yeah, I mean you can if you if you
[00:18:20.500 --> 00:18:27.860]   Just type in the correct information that is needed for charging that specific pet that's absolutely possible
[00:18:27.860 --> 00:18:33.220]   Okay, because I know I know there's that thing about it about ownership or affiliation as it relates to business
[00:18:33.220 --> 00:18:35.700]   But we'll talk about that in a second. Okay, so then cars
[00:18:35.700 --> 00:18:39.700]   Uh, the main question about cars, I think people pretty much figure out your cars your car
[00:18:39.700 --> 00:18:42.660]   Uh, but there's like people asked about what if I rent a car
[00:18:42.660 --> 00:18:48.420]   Uh, you know if I put in the make it model of my car and the energy's going to that car
[00:18:48.820 --> 00:18:50.820]   Um, if I rent a car
[00:18:50.820 --> 00:18:56.180]   Do I have to then update my uh subscription or or update my my settings?
[00:18:56.180 --> 00:19:04.020]   Yes, so in theory you can absolutely do that with a rental car as long as you have it and you have the vin number
[00:19:04.020 --> 00:19:07.940]   Oh, okay. So you need the before everyone that's not in the us the vin number is the
[00:19:07.940 --> 00:19:10.740]   you know the unique
[00:19:10.740 --> 00:19:16.340]   Identity number for a car basically. There's something like that in every country
[00:19:16.420 --> 00:19:20.260]   It's not the license plate though and the license plate also would not work
[00:19:20.260 --> 00:19:25.700]   It has to be this this number and it's it's usually in your you know paperwork somewhere
[00:19:25.700 --> 00:19:28.020]   The channel and the dash
[00:19:28.020 --> 00:19:32.020]   Yes, and you can put that in for the rental car of course that's no problem and it works
[00:19:32.020 --> 00:19:35.380]   And then as soon as you're you know, you're going to be done with that
[00:19:35.380 --> 00:19:42.660]   You need to reach out to customer service though to then change it to a different rental car or then to your own car if you have it
[00:19:42.660 --> 00:19:45.300]   And then that would switch
[00:19:46.180 --> 00:19:48.580]   Okay, so you can't just do that on the website right now
[00:19:48.580 --> 00:19:56.100]   You cannot make any changes of the so-called hard-coded data that is the data that you put in
[00:19:56.100 --> 00:20:04.260]   For the actual charging. Okay. Oh wait, okay. We'll talk more about that when we get to that section of the q&a
[00:20:04.260 --> 00:20:05.780]   But okay, okay good to know
[00:20:05.780 --> 00:20:10.820]   Okay, now let's talk about home. There's a lot of questions about home right as you just alluded to when we're talking about you
[00:20:10.820 --> 00:20:12.500]   um
[00:20:12.500 --> 00:20:17.060]   So, okay first one off was you know, there was a question about home. What is the definition of home?
[00:20:17.060 --> 00:20:22.180]   Is the is it the structure or is it my property and if and if I rent it is it still mine
[00:20:22.180 --> 00:20:27.060]   You know, if I have a farm and it's really really big is it the whole farm, you know, because can you kind of
[00:20:27.060 --> 00:20:33.220]   Like narrow down like what does it mean when someone says yes my home? What is that? Yeah, so
[00:20:33.220 --> 00:20:36.900]   First of all, if you rent it then it is yours
[00:20:36.900 --> 00:20:39.860]   During the time that you rent it and you live in there
[00:20:39.860 --> 00:20:43.780]   So absolutely you can choose the home service for you if you're a renter
[00:20:43.780 --> 00:20:50.180]   That's no problem whatsoever. It's just anyway going to be to the benefit of the owner as well
[00:20:50.180 --> 00:20:55.620]   However, as you move out then you would also choose a different address and then the charging
[00:20:55.620 --> 00:20:58.420]   And the quantum upgrade basically would stop
[00:20:58.420 --> 00:21:01.700]   So that said
[00:21:01.700 --> 00:21:06.500]   If you have a house on a property then not only the house
[00:21:07.060 --> 00:21:10.580]   Is covered but also the whole property is covered
[00:21:10.580 --> 00:21:17.700]   So and if it's eight if it's an 80 acre property, it's 80 acres if it's you know
[00:21:17.700 --> 00:21:23.060]   One square one thousand square feet. It's one thousand square feet. Whatever it is
[00:21:23.060 --> 00:21:31.380]   The the legal boundaries of the property will be covered fully by the service now if you have an apartment
[00:21:31.380 --> 00:21:36.660]   Somewhere or you have an an office and an office building
[00:21:38.020 --> 00:21:40.020]   You should not choose the whole
[00:21:40.020 --> 00:21:41.860]   property
[00:21:41.860 --> 00:21:44.660]   Definitely not be very specific then and
[00:21:44.660 --> 00:21:53.380]   Include your specific suite number or apartment number and then literally just that apartment or the suite will be covered
[00:21:53.380 --> 00:21:57.380]   What if I left out the unit number would it do the whole building?
[00:21:57.380 --> 00:22:01.300]   Yeah
[00:22:01.300 --> 00:22:07.460]   Most likely there you know, we would we could test that in in certain instances the signal may be
[00:22:07.460 --> 00:22:10.020]   unique
[00:22:10.020 --> 00:22:16.660]   Enough to just really cover the living space of that individual that also puts in his name his or her name
[00:22:16.660 --> 00:22:24.180]   But yeah, I would really try to be very specific with your address. Okay, so just to say
[00:22:24.180 --> 00:22:30.100]   Can you find out then because i'm sure people are going to ask because I used to live in a condo
[00:22:30.500 --> 00:22:35.860]   I was also on the board, you know as one of those I was not an evil hoe a guy by the way, everybody
[00:22:35.860 --> 00:22:37.860]   I was a super nice hoe a guy
[00:22:37.860 --> 00:22:43.060]   But I was on the board right and so I was thinking why not do the whole complex and then
[00:22:43.060 --> 00:22:46.340]   Chill everybody out and everyone gets along better, you know kind of thing
[00:22:46.340 --> 00:22:48.820]   So that's kind of what I was thinking of it from like, you know
[00:22:48.820 --> 00:22:52.340]   We had three separate buildings and why not just do the whole complex
[00:22:52.340 --> 00:22:56.900]   So if I left out the unit number, but we you don't know just yet. It actually would work
[00:22:56.980 --> 00:23:02.740]   No, that no that that is not a problem. What's oh, if you're a property manager or if you have
[00:23:02.740 --> 00:23:09.620]   People condos or just a whole yeah, you can do that. You can just do the whole property. Okay. Yeah, good
[00:23:09.620 --> 00:23:16.020]   That's no problem whatsoever. It would does that apply to neighborhoods like, you know, like if uh, let's say I buy into
[00:23:16.020 --> 00:23:19.940]   Country estates, you know, and there's like, you know a bunch of gated houses in there
[00:23:19.940 --> 00:23:22.100]   And it's but it's like one
[00:23:22.100 --> 00:23:29.060]   Community of of buildings right of homes and it's a hoe a you could say I want to sign up country estates
[00:23:29.060 --> 00:23:34.020]   And then that would be that whole area all all the home at this point
[00:23:34.020 --> 00:23:39.060]   I would not recommend that because that is something that we would need to look into specific. Okay, all right
[00:23:39.060 --> 00:23:46.420]   So, okay, so just I just you know, yeah, there's all these questions, right? So all right to be determined whether you can do a whole neighborhood
[00:23:46.420 --> 00:23:49.140]   But pretty sure you can do a whole building
[00:23:49.620 --> 00:23:53.780]   Um, okay. All right. So that's that's good to know. Uh, now what if I own two homes
[00:23:53.780 --> 00:24:01.860]   Like like like, you know, like like you, you know, um, new mexico and costarica. I mean, do you have to sign up each home separately?
[00:24:01.860 --> 00:24:03.540]   Yes
[00:24:03.540 --> 00:24:05.380]   Okay. All right
[00:24:05.380 --> 00:24:09.460]   All right like pets. Yeah, okay, so it's like pet because each one has an individual
[00:24:09.460 --> 00:24:14.260]   You know vibrational signature in the in the universe, right? Okay. All right, so that's it
[00:24:14.260 --> 00:24:16.420]   So if you own more than one then it's one at a time
[00:24:16.420 --> 00:24:18.660]   Um, uh, and then we'll talk about bundles
[00:24:19.220 --> 00:24:21.860]   Okay, so then the other question which are you alluded to a little bit ago?
[00:24:21.860 --> 00:24:25.780]   I just want to get some clarification because there was a whole bunch of questions about this
[00:24:25.780 --> 00:24:31.380]   Which was do the people and pets living in a home, right? Let's say I sign up my quote home
[00:24:31.380 --> 00:24:39.380]   It's my farm or a house or a condo, but I've got pets. I got multiple pets or I have livestock. I got the garden
[00:24:39.380 --> 00:24:44.420]   Um, do they all get the same benefit as if I sign them up individually?
[00:24:45.780 --> 00:24:51.540]   Including the phones anything inside the home gets that gets this in other words. I'm thinking
[00:24:51.540 --> 00:24:56.020]   Hey, why why don't you know instead of signing up me and my pets and my car
[00:24:56.020 --> 00:25:01.380]   Why don't I just sign up my home where everything is and would that be the same thing?
[00:25:01.380 --> 00:25:06.580]   It's definitely not the same thing, but it would be the
[00:25:06.580 --> 00:25:12.580]   One to choose if you really want to cover all of these things at the same time and they will be covered
[00:25:12.980 --> 00:25:17.860]   It's just not as strong like for yourself. For example, it's not going to be as strong
[00:25:17.860 --> 00:25:19.860]   as the service
[00:25:19.860 --> 00:25:26.260]   For you because then you'll be just walking in in this field if you will but
[00:25:26.260 --> 00:25:30.260]   But you don't have the field like literally within you
[00:25:30.260 --> 00:25:33.460]   Uh if that makes sense and that's the same for a pet
[00:25:33.460 --> 00:25:39.860]   For example that it's more powerful and more comprehensive and deeper if you
[00:25:41.460 --> 00:25:47.060]   Have a pet service for the pet or the use service for you versus the home, but
[00:25:47.060 --> 00:25:50.820]   Hey, you know, we we sometimes maybe we have
[00:25:50.820 --> 00:25:58.420]   Multiple pets and other people that live with us and it may just get too expensive to just
[00:25:58.420 --> 00:26:05.220]   Church everyone. So just in that case, I would really just do the home service and it'll already be great
[00:26:05.220 --> 00:26:07.460]   It'll take care of emfs and all of that
[00:26:07.460 --> 00:26:10.820]   It's just not going to be as strong and powerful
