
[00:00:00.000 --> 00:00:04.720]   Aloha everyone and welcome to another carbon 60 video. I'm your host Kay Elmer and this video
[00:09:57.040 --> 00:10:03.040]   They determined there was no toxicity and the dosage was, you know, they had to experiment like, you know, how much c60 do you give
[00:10:03.520 --> 00:10:08.880]   Uh, different animals, uh, the regulatory approach obviously would be a huge deal because you're putting something into the food supply
[00:10:08.880 --> 00:10:13.760]   Uh, and then you know, there's limited research on farm animals and i'll kind of show you that too
[00:10:13.760 --> 00:10:20.320]   So I again, I cherry picked a few studies to kind of share with you to kind of exemplify these points that were made in the summary
[00:10:20.320 --> 00:10:24.240]   Now the very first one is the is the famous c60 rat study in paris
[00:10:24.240 --> 00:10:27.280]   Now this was on rats. Obviously, you know, we don't eat rats or
[00:10:28.160 --> 00:10:32.800]   least western world people who don't eat rats, but you know this this study though really was
[00:10:32.800 --> 00:10:41.520]   Uh quite profound in terms of its findings and the studies called the prolongation of lifespan of rats by repeated oil administration of c60
[00:10:41.520 --> 00:10:48.400]   Fullering so they fed a bunch of rats with c60 and this is what they discovered when you fed these animals with c60 oil
[00:10:48.400 --> 00:10:53.440]   And the results show that while all of oil treatment when they you know can lead to an increase of 18
[00:10:53.440 --> 00:10:57.120]   Lifespan of treated rats. Let me read that again so you guys understand
[00:10:57.760 --> 00:11:02.960]   Just olive oil can lead to an increase of 18 lifespan
[00:11:02.960 --> 00:11:05.440]   Up treated rats. Okay, so
[00:11:05.440 --> 00:11:09.120]   Olive oil right off the bat, you know longevity hack right there
[00:11:09.120 --> 00:11:13.840]   Uh, but c60 oil olive oil can increase it up to 90
[00:11:13.840 --> 00:11:19.280]   As compared to the controls now these results confirm the hypothesis according to which of the
[00:11:19.280 --> 00:11:25.680]   This fullerene is an active is active against oxidative stress, but only in soluble form
[00:11:26.400 --> 00:11:32.880]   And then these results strengthen the dose effect relationship and confirm that c60 is a powerful
[00:11:32.880 --> 00:11:41.600]   Liver protective agent and so the key on this study here was that by giving animals c60 in olive oil
[00:11:41.600 --> 00:11:46.160]   Okay, uh in a soluble oil. Uh, they lived up to 90
[00:11:46.160 --> 00:11:48.160]   Longer
[00:11:48.160 --> 00:11:52.720]   And the thing about it was they were using lab rats that are basically genetically
[00:11:53.200 --> 00:11:57.440]   Designed to get you know to basically develop tumors and then die
[00:11:57.440 --> 00:12:01.360]   You know quickly early, you know, so that you know, you don't want to study to go 10 years
[00:12:01.360 --> 00:12:03.280]   You'd never be able to publish but so you know
[00:12:03.280 --> 00:12:08.160]   They're using lab rats that are designed to get cancer and die and so when they did the pathology on these rats
[00:12:08.160 --> 00:12:16.720]   Uh, they lived twice as long and then when they did the pathology as as the rats continued to die over the over the extended lifespan
[00:12:16.720 --> 00:12:22.320]   Uh, the pathology on various different organs of the rats specifically the liver
[00:12:22.720 --> 00:12:24.560]   They didn't find any tumors
[00:12:24.560 --> 00:12:30.240]   So a hidden little gem in this study is not only did the rats live longer the animals live longer
[00:12:30.240 --> 00:12:36.880]   They lived healthier and they didn't develop diseases like they that that they're pre-programmed genetically to develop
[00:12:36.880 --> 00:12:40.400]   Which is astounding because you know, there's all these uh, you know
[00:12:40.400 --> 00:12:43.040]   One of the biggest issues with animal husbandry right is disease
[00:12:43.040 --> 00:12:47.840]   And can you imagine if you had this magic little thing called c60 you could feed your animals
[00:12:47.840 --> 00:12:52.720]   They they live longer and then they're more pre- you know resilient to diseases pretty fascinating
[00:12:52.720 --> 00:12:59.600]   Now another study here called the anti-inflammatory and antioxidant effects of liposomal c60 at the cellular molecular
[00:12:59.600 --> 00:13:05.120]   Molecular and whole animal levels and now this was a study done on beagles on dogs
[00:13:05.120 --> 00:13:13.600]   So they studied the c60 on dogs and in summary a trace amount of the hydro phobics c60 and hydrophilic
[00:13:14.000 --> 00:13:20.560]   media effectively produced anti-inflammatory and antioxidant effects in cells and animals
[00:13:20.560 --> 00:13:24.560]   And so what they discovered was that the c60 and they used grapeseed oil in this study
[00:13:24.560 --> 00:13:30.400]   But the c60 dissolved in grapeseed oil is a novel anti-inflammatory and antioxidant drug
[00:13:30.400 --> 00:13:31.840]   candidate
[00:13:31.840 --> 00:13:34.480]   Meaning this they discovered that you know for dogs
[00:13:34.480 --> 00:13:38.960]   This was really really helpful in making them disease resistant because the you know
[00:13:38.960 --> 00:13:43.600]   The the source of a lot of diseases is inflammation and by feeding your dogs
[00:13:44.160 --> 00:13:48.560]   Or in this case beagle dogs or feeding let's say your cattle your sheep whatever
[00:13:48.560 --> 00:13:51.840]   You're going to basically help them become more disease resistant
[00:13:51.840 --> 00:13:57.760]   By having this anti-inflammatory effect and that's pretty amazing. Now the last one here is that I found
[00:13:57.760 --> 00:14:05.360]   Another study called the dietary zero dimensional fullerene supplementation improves meat quality lipid metabolism
[00:14:05.360 --> 00:14:09.360]   Muscle fiber characteristics and antioxidant status and finishing pigs
[00:14:09.680 --> 00:14:14.720]   Now this was that study that I mentioned this was the only study I could find on actual farm animals
[00:14:14.720 --> 00:14:17.600]   But you know animals are animals and we are animals so this applies to us
[00:14:17.600 --> 00:14:23.360]   But the thing that was really fascinating was they were looking at just basically, you know meat producing animals
[00:14:23.360 --> 00:14:29.520]   What happens when you feed them c60 now in this study compared to the control group
[00:14:29.520 --> 00:14:36.480]   Dietary c60 supplementation increased the ph3h and flesh color and marbling scores
[00:14:36.880 --> 00:14:41.200]   And they tended to increase in the c60 group, okay, so the meat looked better
[00:14:41.200 --> 00:14:45.200]   You know, which is really important if you're going to try to sell something to somebody right
[00:14:45.200 --> 00:14:53.120]   And then also the results revealed that the dietary c60 supplementation led to a shift of muscle fibers from a type
[00:14:53.120 --> 00:15:02.560]   To be to a type to a which means that it causing it caused more tenderness of the meat thus improving meat quality
[00:15:02.960 --> 00:15:09.120]   Now there's this other marker that they use in in basically, you know defining the quality of meat called imf
[00:15:09.120 --> 00:15:14.000]   Sorry, I don't know what that stands for but imf is correlated with juiciness and flavor
[00:15:14.000 --> 00:15:21.760]   Now there the present study showed that c60 could increase imf and sfa content
[00:15:21.760 --> 00:15:28.080]   And this result might be associated with the metabolism of fatty acids and skeletal muscle
[00:15:28.400 --> 00:15:36.160]   Including fatty acid biosynthesis fatty acid oxidation and lipid transport which regulates the fat content of skeletal muscle
[00:15:36.160 --> 00:15:42.080]   So for those of you who are familiar with you know, like the difference between wagyu beef and regular beef
[00:15:42.080 --> 00:15:45.680]   You know, it's all about marbling. It's all about the fat content
[00:15:45.680 --> 00:15:50.960]   It's all about the the muscle fibers and making making sure that you know that you want the meat to be
[00:15:50.960 --> 00:15:54.400]   Delicious because it's got a real high fatty content
[00:15:54.960 --> 00:15:59.600]   You want it to be tender you want it to look nice, you know, because you're trying to sell a product
[00:15:59.600 --> 00:16:07.600]   And this was an amazing study on c60 on pigs that basically turns out that if you feed pigs c60
[00:16:07.600 --> 00:16:10.480]   The quality of the meat they're going to taste better
[00:16:10.480 --> 00:16:14.320]   They're going to taste better and they're going to it's going to look good
[00:16:14.320 --> 00:16:17.280]   Um, and it's just going to be juicy and flavorful
[00:16:17.280 --> 00:16:21.760]   Which really kind of is real interesting because you know all of you out there that are interested c60
[00:16:22.400 --> 00:16:29.120]   You're taking c60. So congratulations. You are now tastier than you ever been before in your whole life
[00:16:29.120 --> 00:16:32.960]   But that's that's the that's the result of the study
[00:16:32.960 --> 00:16:38.960]   So it's really an amazing thing. So in summary when we look at the use of c60 and farming
[00:16:38.960 --> 00:16:46.320]   It's got some great potential in crops water retention nutrient uptake stress tolerance increased yields and animals
[00:16:46.320 --> 00:16:52.320]   You've got improved health potential lifespan extension and the improvement in the meat quality
[00:16:52.560 --> 00:16:57.040]   Was all demonstrated through these science studies. Now. I do want to leave you with one idea here
[00:16:57.040 --> 00:17:04.000]   There's a huge challenge though, and you know, you know it right off the bat if you're, you know, if you're buying c60, you know, and it's the cost effectiveness
[00:17:04.000 --> 00:17:07.120]   So right now, um
[00:17:07.120 --> 00:17:11.040]   Obviously, you know based on what it costs. There's no way in the world
[00:17:11.040 --> 00:17:15.280]   Any farmer out there can afford to put c60 in the ground
[00:17:15.280 --> 00:17:20.640]   On a regular basis. I mean just you know taking c60 as a supplement as a human is expensive
[00:17:20.960 --> 00:17:24.400]   So I think that while they're at the pinch debt, but the potential is there
[00:17:24.400 --> 00:17:29.520]   The reality check is that right now at this time, you know 2025 there hasn't been
[00:17:29.520 --> 00:17:36.480]   Uh, you know, uh an ability to mass produce c60 for use in agriculture yet
[00:17:36.480 --> 00:17:41.760]   And I think that's going to be my next research project is to see where do we stand on that on that ability
[00:17:41.760 --> 00:17:44.800]   Uh for science to develop techniques to you know to
[00:17:45.600 --> 00:17:50.160]   Synthesize c60 from carbon use most likely they use the graphite
[00:17:50.160 --> 00:17:57.600]   They just extract c60 from graphite and can it be done on such a large scale to reduce the price enough for use in agriculture?
[00:17:57.600 --> 00:18:01.200]   So yeah, obviously, you know, this video is just to kind of kind of convey
[00:18:01.200 --> 00:18:07.760]   The potential and the incredible benefits that science scientists are finding with results to plants and animals
[00:18:07.760 --> 00:18:11.920]   Uh, but at the end of the day, you know, until there's a cost effectiveness
[00:18:12.320 --> 00:18:16.400]   Uh, you know in terms of being able to buy c60 in bulk for use in agriculture
[00:18:16.400 --> 00:18:19.920]   And with animals, you know, it's it's not going to actually happen
[00:18:19.920 --> 00:18:23.760]   But the potential is there and I think that's what's important because you know
[00:18:23.760 --> 00:18:26.400]   Who's to say that you know, let's say five years from now 10 years from now
[00:18:26.400 --> 00:18:30.080]   Somebody doesn't come along and find a way to just produce tons of this stuff
[00:18:30.080 --> 00:18:31.760]   You know c60
[00:18:31.760 --> 00:18:35.600]   And then farmers can start using it in place of this, you know the chemicals they use
[00:18:35.600 --> 00:18:41.840]   And then you can see some of these incredible results that farmers will have so so this video is really early
[00:18:41.920 --> 00:18:49.680]   It's but you know what it does convey the reality that c60 is incredibly beneficial to farming
[00:18:49.680 --> 00:18:56.160]   Uh, it's just a matter of time and when it's going to be available at a price where it can be used for farming
[00:18:56.160 --> 00:18:58.800]   And that's the point of the video is that yes, it's great
[00:18:58.800 --> 00:19:03.040]   Not you know, it may not be time yet, but hey, you know what the idea is there
[00:19:03.040 --> 00:19:07.360]   The research is incredible. It's fascinating stuff and I just wanted to share with you
[00:19:07.360 --> 00:19:11.520]   I thought you would find it interesting too. So thank you for watching if you got any questions about c60
[00:19:12.080 --> 00:19:14.720]   Join us on telegram. I have a ccc check group on telegram
[00:19:14.720 --> 00:19:21.600]   We talk about all things c60 foreign all's all all the different various carbonyl tropes and and biohacking
[00:19:21.600 --> 00:19:23.040]   You know, that's a big biohacking thing
[00:19:23.040 --> 00:19:25.680]   If you like to learn more about me, you can go to tinker's academy blog
[00:19:25.680 --> 00:19:28.800]   Where I post all of my c60 research materials
[00:19:28.800 --> 00:19:33.440]   Along with other research that I do and all the different things that I like to do in terms of biohacking
[00:19:33.440 --> 00:19:36.080]   So you like this kind of content against like and subscribe
[00:19:36.080 --> 00:19:41.200]   Thank you for watching appreciate your time. Hope you found this interesting and have a great day. Aloha

