
[00:00:00.000 --> 00:00:05.640]   Hello everybody, this is Kay Elmer and this is another carbon 60 video and in this video
[00:08:14.400 --> 00:08:17.480]   This is where he says and this is what's really cool is he tested it
[00:08:17.480 --> 00:08:21.680]   I made liposomal niacin using lethicin boom hot flash for me
[00:08:21.680 --> 00:08:26.520]   Niacin in pill form took 12 minutes, but in liposomal form only took five
[00:08:26.520 --> 00:08:32.360]   So that's a remarkable intelligent awesome way to find out whether or not it works and how it works
[00:08:32.360 --> 00:08:37.640]   And what's the best way it works and there you go? I think this was a great comment and like I said earlier
[00:08:37.640 --> 00:08:38.560]   I just a couple seconds ago
[00:08:38.560 --> 00:08:43.000]   I actually been dumping it into my protein shake every morning and now it's like mmm scratching my head
[00:08:43.000 --> 00:08:47.200]   Maybe I should try it on an empty stomach and and see what happens so that's something I plan on doing
[00:08:47.200 --> 00:08:51.600]   To see if I can well I've got to be able to handle taking it straight
[00:08:51.600 --> 00:08:59.080]   You know if it ain't coconut oil, it's pretty hard for me to just take a shot a coke or that coke of the olive oil
[00:08:59.080 --> 00:09:04.200]   It doesn't taste that great, but good information. He's he's got it tested here
[00:09:04.200 --> 00:09:08.820]   This is the recommendation keep that in mind good stuff. I really appreciate that. Thank you
[00:09:08.820 --> 00:09:13.640]   Now we talk about oils then this is where I kind of had this really cool
[00:09:13.640 --> 00:09:22.680]   Conversation with Martin one of the one I assume the one of the founders of the C60 red lion brand in the UK
[00:09:22.680 --> 00:09:28.520]   And I got I got some great information from him, and I think it's just really really good stuff
[00:09:28.520 --> 00:09:33.800]   So I want to share this with you and one of the things and by the way, you can go to his Twitter page and you can read this
[00:09:33.800 --> 00:09:35.640]   He's he's he's got it all on there
[00:09:35.640 --> 00:09:37.760]   But I just take the excerpts here
[00:09:37.760 --> 00:09:42.200]   And one of the things that I wanted to share was when he says that we are the manufacturer of C60 olive oil
[00:09:42.200 --> 00:09:46.440]   And I've done extensive research on oils. There's solubility and distribution throughout the body
[00:09:46.440 --> 00:09:48.440]   Okay, so here's somebody who's studied it
[00:09:48.440 --> 00:09:51.640]   You know he didn't hasn't put out a scientific study that you all can share
[00:09:51.640 --> 00:09:58.240]   But his comments I think are valuable is he says the high quality olive oil is the only is only oil
[00:09:58.560 --> 00:10:04.880]   Which delivers C60 product to every cell not even low quality olive oil will do that and it's any great scientist
[00:10:04.880 --> 00:10:09.600]   He's actually proved it by studying it and he's got some numbers here in which I think it's are great
[00:10:09.600 --> 00:10:14.840]   These are all now these other he says here are the solubilities grams per liter figures for because remember now
[00:10:14.840 --> 00:10:19.120]   If you guys are buying a product or you're making especially if you're making it at home
[00:10:19.120 --> 00:10:25.000]   You know the holy grail of making C60 oil yourself is you want to use up as much of that C60
[00:10:25.200 --> 00:10:29.120]   Powder as possible. You don't want to leave it on the inside of the flash or the bottom of the you know
[00:10:29.120 --> 00:10:31.800]   Ultrasonic or you don't want to waste it. It's so expensive
[00:10:31.800 --> 00:10:36.560]   But it's also that fact that you you want to take it into your body and the only way to do it is if it dissolves
[00:10:36.560 --> 00:10:38.840]   Into the oil as a liposome
[00:10:38.840 --> 00:10:45.800]   Aside from the fact that you know it could just be suspended in the oil and floating around not as a liposome
[00:10:45.800 --> 00:10:49.080]   But as more of it, you know as a like a little little just you know
[00:10:49.080 --> 00:10:54.560]   Specs in the in the oil. Okay, so if you drink it as a speck in the oil and it hasn't formed a liposome
[00:10:54.560 --> 00:10:55.960]   You're not going to get as much of a benefit
[00:10:55.960 --> 00:11:01.760]   But if you take it as a liposome, it will so you're looking for an oil and a process to basically quote dissolve
[00:11:01.760 --> 00:11:03.520]   And her make it all into liposomes, right?
[00:11:03.520 --> 00:11:10.800]   And so this guy I studied and he gave me some numbers and these are different olive oils that he says that has been tested
[00:11:10.800 --> 00:11:15.720]   And I asked him how did you test it and he said through HPLC, which is high-performance liquid
[00:11:15.720 --> 00:11:22.680]   Homiography so he's obviously got the equipment that I kind of don't have obviously never will have but he's got the equipment
[00:11:22.680 --> 00:11:27.720]   and he's able to actually tell you know, which oils do the best job of
[00:11:27.720 --> 00:11:36.680]   Suspending or not suspending but dissolving the C60 in it to give you the biggest bang for your buck on when you're using C60 powder
[00:11:36.680 --> 00:11:39.280]   And making your own or you know
[00:11:39.280 --> 00:11:43.200]   Also something to think about when you're trying to buy a product that's got C60 in it
[00:11:43.200 --> 00:11:46.600]   And so this is what's interesting is he's tested these four that he showed me
[00:11:47.200 --> 00:11:55.360]   And you know, look at this one. There's this one olive oil brand or I olive oil type that has a solubility 5.97 grams per liter
[00:11:55.360 --> 00:12:00.480]   That is huge if you remember from my three-part video series
[00:12:00.480 --> 00:12:06.760]   I mean the rat scientists they weren't out trying to figure out the best C60 oil they could make right?
[00:12:06.760 --> 00:12:09.120]   So they were just trying to poison rats with C60
[00:12:09.120 --> 00:12:14.200]   So they weren't you know, they weren't as focused on trying to make the best product as they could so they just you know
[00:12:14.200 --> 00:12:19.680]   They just got some of the they they used a an oil. I'm sorry a olive oil
[00:12:19.680 --> 00:12:22.400]   derived from Kimlally
[00:12:22.400 --> 00:12:28.520]   Tunisia, right? It's Kimlally olives from Tunisia is what they used and that's just what they used
[00:12:28.520 --> 00:12:35.320]   But here's an individual who's actually tested various oils is stating that olive oil is literally the only oil
[00:12:35.320 --> 00:12:41.040]   That that is that does it that does the C60 to every cell in your body that could deliver it
[00:12:41.040 --> 00:12:48.080]   And he's tested various different types of oils and here you've got one that's literally almost can can hold six grams per liter
[00:12:48.080 --> 00:12:54.760]   Which is amazing because if you remember in the rat study, what did they say that they only could hold one actually point eight grams per liter
[00:12:54.760 --> 00:13:01.280]   That was that that was their solubility factor for the oil. They were given the rats, but here you can get a six times that
[00:13:01.280 --> 00:13:05.640]   Using this oil, but you know what's even more interesting is if you read his website
[00:13:05.640 --> 00:13:11.360]   He uses olive oil press from Corona, Nikki. I don't know how to pronounce that
[00:13:11.360 --> 00:13:17.440]   But those are the olives that he uses and so I usually I love finding really smart guys
[00:13:17.440 --> 00:13:20.840]   I've done all the testing themselves have the numbers to show it
[00:13:20.840 --> 00:13:24.640]   And I kind of like to you know kind of copy that so right now
[00:13:24.640 --> 00:13:28.340]   I'm going to finish up the the the can of oil that I've got but my next
[00:13:28.340 --> 00:13:34.640]   Purchase is going to be this this word or word that is and I'm gonna be using that oil just to see how that goes
[00:13:34.640 --> 00:13:39.880]   So I thought that was really interesting wanted to share that the other thing that Martin from Red Lion had to say which is
[00:13:39.880 --> 00:13:42.940]   Equally is important, and I think this is something that's
[00:13:42.940 --> 00:13:51.840]   Undoubtedly, you know something we all should be thinking about is is is the reality that you know when you look at lipodomics lipodomics sorry
[00:13:51.840 --> 00:13:59.440]   We'll show many oils to be the main lipid source for the body, but olive oil has a high content of mutha's
[00:13:59.960 --> 00:14:06.320]   Particularly octa did not acid and olec acid we have tested dozen of oils and solvents
[00:14:06.320 --> 00:14:11.720]   But the solubility is not the problem. It's a libidomic problem, and he's got some
[00:14:11.720 --> 00:14:17.200]   He's got some links here to basically back up his claim links are in the video description below
[00:14:17.200 --> 00:14:23.020]   So remember now we're taking we're taking the C60 for those you guys making it and the manufacturers themselves
[00:14:23.020 --> 00:14:29.920]   They're taking C60 they're putting into a fat in all in oil, and they're subjecting the oil to an
[00:14:30.320 --> 00:14:31.820]   energy source either through
[00:14:31.820 --> 00:14:37.640]   Stirring or you know ultrasonic shaking and they're creating this thing called a liposome with the right right inside
[00:14:37.640 --> 00:14:39.640]   It's going to be the C60 molecule
[00:14:39.640 --> 00:14:46.880]   So this is what's really really interesting because I've been storing up and collecting tons and tons and tons of science studies
[00:14:46.880 --> 00:14:52.100]   And he's hitting on something that I just recently was reading which is the idea
[00:14:52.100 --> 00:14:59.800]   That when you create these liposomes that you're not that that the possibility that the C60 molecule by itself
[00:14:59.960 --> 00:15:06.680]   If you were just to drink it in water would maybe possibly be toxic, but because you wrap a fat cell around it
[00:15:06.680 --> 00:15:10.760]   It becomes not toxic because it becomes a separate
[00:15:10.760 --> 00:15:19.400]   Compound it's an actual you've actually changed it and it's become something different and that in that the idea of how well C60 works
[00:15:19.400 --> 00:15:23.680]   It may not be just for the fact that just taking C60 raw like a powder
[00:15:23.680 --> 00:15:29.920]   but the fact that you put it into a into a into a fat cell or a liposome and you actually create a
[00:15:29.920 --> 00:15:36.280]   New compound and the issue here at this point is not so much how well C60
[00:15:36.280 --> 00:15:44.640]   Absorbs into the olive oil, but more so the biggest challenge of making sure that you get the most benefit from C60
[00:15:44.640 --> 00:15:49.840]   In oil is that how your body absorbs that fat cell or that fat liposome?
[00:15:49.840 --> 00:15:54.160]   So that I think it's a rule rule. I'm going to be doing a lot more study into liponomics
[00:15:54.160 --> 00:16:00.320]   Because I think that he really hits on a on a flag here that that really the idea is not so much
[00:16:00.320 --> 00:16:03.920]   How well you make this the solution which is important, right?
[00:16:03.920 --> 00:16:06.400]   But the fact that how well does your body absorb it?
[00:16:06.400 --> 00:16:10.800]   So real interesting stuff. This is just the tip of the iceberg wanted to share it with you
[00:16:10.800 --> 00:16:14.640]   Because I knew that all of you guys out there are interested in this stuff. You're taking it
[00:16:14.640 --> 00:16:16.400]   So obviously you want to know more about it
[00:16:16.400 --> 00:16:19.840]   So now the next thing is on using ultrasonics. I chatted with him about this
[00:16:19.840 --> 00:16:24.480]   And this is some great information because I'm always out to try to improve how I make it
[00:16:24.480 --> 00:16:29.360]   Talking with Martin from C60 red line. He says if you're using ultrasonics
[00:16:29.360 --> 00:16:35.200]   I know this might be difficult but to try to find an ultrasonics machine of 28 kilohertz or lower not the
[00:16:35.200 --> 00:16:41.120]   Not the normal 40 kilohertz, which is the machines I have been using and then he says and he gives you the secret sauce
[00:16:41.120 --> 00:16:43.280]   21 kilohertz is excellent
[00:16:43.280 --> 00:16:47.600]   And that's amazing and then he warns me then and in further on along the conversation
[00:16:47.600 --> 00:16:51.760]   He says beware that timing is critical and these are my words. I forgot what he wrote
[00:16:51.760 --> 00:16:57.600]   But he basically says liposomes will break apart if you're subjected to ultrasonics for too long
[00:16:57.600 --> 00:16:59.200]   so
[00:16:59.200 --> 00:17:04.000]   Real important part and so you know this was great timing by the way when I had this chat with them
[00:17:04.000 --> 00:17:06.720]   Because that first one broke if you remember from my video
[00:17:06.720 --> 00:17:10.720]   And so I had to go that use that little jewelry clean little white one, but I had a bigger blue one
[00:17:11.440 --> 00:17:13.440]   And that one broke and on the first try
[00:17:13.440 --> 00:17:18.480]   So I was about to order my new one and when I read this or when I hit and I chatted
[00:17:18.480 --> 00:17:21.280]   I was able to and he actually makes a
[00:17:21.280 --> 00:17:26.800]   Common here that's difficult to find and he's right. I had to look at about 20 different models
[00:17:26.800 --> 00:17:30.400]   to find an ultrasonic machine that
[00:17:30.400 --> 00:17:34.640]   I could get as close to 20 as I could. I actually finally found one
[00:17:34.640 --> 00:17:41.200]   And I found it on ebay and I went ahead and bought it's like 119 bucks with $20 shipping
[00:17:41.600 --> 00:17:43.040]   that actually
[00:17:43.040 --> 00:17:46.080]   Has it goes 20 kilohertz or 40
[00:17:46.080 --> 00:17:50.640]   That's the closest I could get to 21, but you know, I'm even basically I'm using
[00:17:50.640 --> 00:17:54.560]   You know off the shelf equipment not scientific lab equipment
[00:17:54.560 --> 00:17:59.200]   So I can't tune into a specific frequency, but I think it's really it's close. It's 20
[00:17:59.200 --> 00:18:02.000]   And so I've got my new ultrasonic cleaner this week
[00:18:02.000 --> 00:18:06.320]   I'm really excited to start using it and I'm really going to be doing to be start making
[00:18:06.720 --> 00:18:13.200]   Ultrasonic C60 oil olive oil using 20 kilohertz and see how that goes
[00:18:13.200 --> 00:18:14.240]   Also, too
[00:18:14.240 --> 00:18:17.040]   I did get some really great comments from viewers about
[00:18:17.040 --> 00:18:23.600]   When I did my CBD video about putting a glass flask in an ultrasonic machine
[00:18:23.600 --> 00:18:27.600]   The viewer was adamant and and I want to share this with that. Don't put
[00:18:27.600 --> 00:18:31.440]   the flask straight on the bottom of the machine because that's where the
[00:18:31.440 --> 00:18:34.720]   I forgot the name of those things inside the
[00:18:35.600 --> 00:18:37.280]   the jewelry cleaner thing
[00:18:37.280 --> 00:18:42.080]   Transducers I think when those things vibrate, you know, that could literally shatter the glass
[00:18:42.080 --> 00:18:44.640]   So two key two key takeaways was one
[00:18:44.640 --> 00:18:49.440]   Use the basket all those things have a basket they come with so put it in the basket
[00:18:49.440 --> 00:18:52.720]   So it's not literally sitting on the bottom of the ultrasonic machine
[00:18:52.720 --> 00:18:56.160]   And the second thing that I want to add to that is always use
[00:18:56.160 --> 00:19:00.560]   Lab glass do not use like a glass out of your out of your cupboard
[00:19:01.360 --> 00:19:07.920]   The glass flasks that you've seen in my videos are those Borcelic glass flasks that are made for labs
[00:19:07.920 --> 00:19:11.520]   Are made for high temperatures low, you know, they're not going to crack very easily
[00:19:11.520 --> 00:19:13.600]   They can take a lot of wear and tear just like um
[00:19:13.600 --> 00:19:17.760]   Whatever that other product is that we all have in our house, right? So
[00:19:17.760 --> 00:19:24.960]   Uh, so just make sure you use uh quality class products put them in a basket and don't go too long
[00:19:24.960 --> 00:19:26.960]   So, you know, I was thinking about what is too long
[00:19:27.600 --> 00:19:32.000]   Couldn't quite get it out of him. Yeah, I don't I know that you know, he's this is all his secret sauce
[00:19:32.000 --> 00:19:33.440]   So he didn't want to share it with me
[00:19:33.440 --> 00:19:37.280]   So, um, but I think that I'm gonna be doing my next batch
[00:19:37.280 --> 00:19:41.600]   And I think what I'm gonna do is really watch it really closely by the way my new machine
[00:19:41.600 --> 00:19:47.840]   It has it I can just I can set the timer for as long as I want which is great because I don't have to keep running back to it
[00:19:47.840 --> 00:19:52.640]   But um, I'm thinking that I'm gonna watch it and I think that right at the moment that it turns dark
[00:19:53.120 --> 00:19:56.000]   Just let it go a little bit after that and stop, you know, it's kind of that's my guess
[00:19:56.000 --> 00:20:00.000]   I'm guessing here, but I'm gonna give that a try and lastly, you know, I want to point this out
[00:20:00.000 --> 00:20:00.880]   This is real interesting
[00:20:00.880 --> 00:20:05.520]   He did mention that red lion mixes their product for three to four weeks
[00:20:05.520 --> 00:20:10.000]   I was like wow, you know, everyone else is like doing two weeks, but this is amazing
[00:20:10.000 --> 00:20:12.480]   So because he's the only product that actually turns red
[00:20:12.480 --> 00:20:17.280]   Uh, apparently if you keep going after the two weeks and and you know, you do it
[00:20:17.280 --> 00:20:20.480]   Just the way he's doing it, you know, the actual oil turns red
[00:20:20.880 --> 00:20:25.840]   Which is if you know what the color spectrum light and this color spectrum is and everybody uses
[00:20:25.840 --> 00:20:28.960]   Whatever they're doing and they make this oil and it turns purple
[00:20:28.960 --> 00:20:35.040]   We'll try to imagine he's figured out a way to keep going so that it goes down the color spectrum from purple and gets to the red
[00:20:35.040 --> 00:20:40.960]   So, uh, that's really interesting stuff. I mean, I was really really delighted to be able to have this conversation with this guy
[00:20:40.960 --> 00:20:43.760]   And the last thing I want to share with you what I got from martin
[00:20:43.760 --> 00:20:50.000]   Was pulverizing the c60 and this is what was real interesting because I just finished making a batch
[00:20:50.080 --> 00:20:52.080]   And I was looking at the flask
[00:20:52.080 --> 00:20:55.280]   And you know, there's all these little like grains of sand
[00:20:55.280 --> 00:21:00.160]   Um inside the flask after I poured it out, you know, and I hate wasting the c60
[00:21:00.160 --> 00:21:06.640]   And then I thought to myself wow these little grains of sand are basically clumps of c60 molecules, right
[00:21:06.640 --> 00:21:09.760]   You know, a c60 molecule is invisible to the naked eye
[00:21:09.760 --> 00:21:11.360]   So if I can see
[00:21:11.360 --> 00:21:18.000]   These clumps they had to be these giant clumps of of c60 all clumped together into a little green of sand, you know
[00:21:18.320 --> 00:21:21.760]   And I was like, oh man all that it's like this is basically you're going to throw this away
[00:21:21.760 --> 00:21:24.880]   And and it's not going to dissolve because it is a grain of sand
[00:21:24.880 --> 00:21:30.400]   So I was thinking, you know, I should I should you know, try to crush it up like because I have a mortar and pestle
[00:21:30.400 --> 00:21:35.920]   You know, uh, I have a rock one and so I was thinking well, why don't I get and I did I actually bought a porcelain
[00:21:35.920 --> 00:21:40.240]   One that's smooth and I was going to start pulverizing the c60 powder
[00:21:40.240 --> 00:21:44.240]   Before I added it to my oil and then all of a sudden I have this conversation with martin
[00:21:44.240 --> 00:21:47.040]   And he confirms what I was thinking and I was like, oh cool. This is great
[00:21:47.280 --> 00:21:50.560]   You know, he's confirming what I was thinking, which was, you know, that you need them
[00:21:50.560 --> 00:21:52.800]   That'd be a good idea and you quote need to
[00:21:52.800 --> 00:21:59.280]   You should pulverize it, you know, and grind it down to like literally, you know, like the feeling or the
[00:21:59.280 --> 00:22:03.520]   The the quality of the consistency of ash. I think it's the best way
[00:22:03.520 --> 00:22:06.240]   Uh, and so basically he did say it so he goes
[00:22:06.240 --> 00:22:12.160]   Because I was you know chatting with him about it and he says well, it's important to grind or actually it's very important
[00:22:12.160 --> 00:22:16.480]   Uh-huh, maybe that's how you get to be read grind it in oil for an oxy-free environment
[00:22:16.480 --> 00:22:20.080]   So he says this is what he says. It's really important to grind it, right
[00:22:20.080 --> 00:22:24.960]   Obviously to get the most out of it, but then he's also he also warned me to that
[00:22:24.960 --> 00:22:28.320]   It was really susceptible to oxygen as well as light
