
[00:00:00.000 --> 00:00:04.720]   Aloha everyone and welcome to another Tinkers Academy video. I'm your host Kay Elmer and today
[00:04:57.840 --> 00:05:07.040]   You know that it heated up, you know to the point where it caused catastrophic failure and they had a they're basically a burn through a hole in their
[00:05:07.040 --> 00:05:09.520]   uh, they're craft and it just
[00:05:09.520 --> 00:05:14.960]   That's the disintegrated. So that's yeah, it's a tragedy
[00:05:14.960 --> 00:05:20.000]   But yeah, that's really interesting because I remember back then that you know, there was that discussion
[00:05:20.320 --> 00:05:24.240]   But it seemed like so it wasn't that the the tiles that lock heat had
[00:05:24.240 --> 00:05:32.320]   Developed for this to shuttle the tiles themselves worked right it was just that oh yeah, they just had an accident where they'd lost tiles
[00:05:32.320 --> 00:05:35.120]   Correct. Okay. Yeah
[00:05:35.120 --> 00:05:37.520]   I think the laboratory that I was working on
[00:05:37.520 --> 00:05:45.760]   Late later at the time they they made this uh, they called it towel repair kit and it was like a we call it a slaw
[00:05:46.640 --> 00:05:50.400]   because it was like a mixture of like cork and fibers and silicone and
[00:05:50.400 --> 00:05:55.120]   You'd go and pack it in one of these places that in one of the tiles came out like a putty
[00:05:55.120 --> 00:06:00.400]   But they didn't have that that that program was canceled because they said oh we have really good results with the
[00:06:00.400 --> 00:06:03.840]   With the tiles themselves and they didn't want to carry a repair kit
[00:06:03.840 --> 00:06:08.640]   Up on the tile they could have went out there and you know did a spacewalk and packed it in there
[00:06:08.640 --> 00:06:13.840]   And uh, it would have you know plugged that hole so to speak and so they could come in on when we're in reentry
[00:06:14.160 --> 00:06:17.120]   But they never they never you know had that on board on
[00:06:17.120 --> 00:06:21.200]   On the columbia. Oh, yeah, that gets that reminds me that
[00:06:21.200 --> 00:06:28.240]   Apparently from what I recall just from you saying that that repair kit was mandatory on all future shuttle flights, right?
[00:06:28.240 --> 00:06:32.560]   After the after you know, they started the program back up
[00:06:32.560 --> 00:06:39.200]   Uh, you know started working on yeah, although everything was grounded in that program and then I then that's about 19
[00:06:39.200 --> 00:06:44.000]   That's when I quit the aerospace business and uh, so I don't I don't know if they continue
[00:06:44.160 --> 00:06:47.840]   It or not and that's when I went into health and human performance. Oh, okay
[00:06:47.840 --> 00:06:52.800]   Yeah, I kind of vaguely remember that that they came up with some kind of repair kit
[00:06:52.800 --> 00:06:56.000]   Everything was grounded. The entire fleet was grounded right for a long time
[00:06:56.000 --> 00:07:00.000]   But then they made it mandatory that they had to have the ability to fix stuff
[00:07:00.000 --> 00:07:06.240]   Which would bizarre that nasa wouldn't have had the ability to fix stuff because they have like 500 backups or everything
[00:07:06.240 --> 00:07:10.960]   But it I digress but thank you for sharing that with me. It's just it's just fascinating honestly
[00:07:10.960 --> 00:07:15.200]   It's really fascinating to be able to speak to an actual scientist that worked for nasa
[00:07:15.200 --> 00:07:20.880]   Who you know contributed to the the space program is really just them, you know, I'm very humbling
[00:07:20.880 --> 00:07:27.760]   It was a fun project and it was cost plus so we had money to do testing and everything we wanted to do
[00:07:27.760 --> 00:07:31.200]   Um, you have those tiles just for a note of fact
[00:07:31.200 --> 00:07:37.280]   Um, you know the production after the columbia was built the production cost for the tiles were $600 a piece
[00:07:37.680 --> 00:07:39.760]   But during but to make them for the first
[00:07:39.760 --> 00:07:41.920]   Craft
[00:07:41.920 --> 00:07:49.920]   It was there were $6 000 a piece. Okay, and there were 32 000 tiles on that on that on that on the on the on the on a shuttle
[00:07:49.920 --> 00:07:55.040]   Each shuttle had 32 000 tiles so you can do the math. It was quite expensive
[00:07:55.040 --> 00:08:01.760]   But um, yeah the and they the each tie was handcrafted basically
[00:08:01.760 --> 00:08:06.960]   It was machined to fit a certain pattern and they were bonded onto the bottom of the aluminum structure of the
[00:08:07.360 --> 00:08:09.360]   Of the of the spatial
[00:08:09.360 --> 00:08:12.480]   Yeah, that's amazing. I mean everything's expensive with nasa
[00:08:12.480 --> 00:08:16.160]   My father actually worked for bowing and once I had him explain to me why
[00:08:16.160 --> 00:08:23.520]   Uh, you know why a toilet costs $90 000 and it was interesting why that happens that there's actually a reason why
[00:08:23.520 --> 00:08:28.720]   Uh, okay. Okay, but we digress. Hey, let's before we jump into the the carbon 60 chat
[00:08:28.720 --> 00:08:31.120]   Let me get into just a disclaimer
[00:08:31.120 --> 00:08:33.680]   Uh, the information in this video is provided for
[00:08:34.080 --> 00:08:37.920]   informational purposes only and is not to be considered medical advice or instruction
[00:08:37.920 --> 00:08:42.640]   Statements made have not been evaluated by the food and drug administration gresca's carbon 60
[00:08:42.640 --> 00:08:49.680]   Products are not intended to diagnose treat cure or prevent any disease consult your physician or health care provider for medical advice
[00:08:49.680 --> 00:08:55.760]   All right. Thank you very much. Okay. So bob now you're uh in 1990 you found you founded your own engineering firm
[00:08:55.760 --> 00:09:00.320]   But then from what I could tell I guess you know, you you did let me just get this right
[00:09:00.320 --> 00:09:03.120]   You uh decided to get out of that and get into health
[00:09:03.440 --> 00:09:10.000]   Uh, you know carbon for health, uh, and then I noticed that the website for that you're have that you use now kind of popped up
[00:09:10.000 --> 00:09:17.280]   Around 2015 as gresca's carbon 60 is that was would that be around about the right time frame? Yeah, that's about right
[00:09:17.280 --> 00:09:19.360]   We put up a website
[00:09:19.360 --> 00:09:22.080]   on january 2nd of
[00:09:22.080 --> 00:09:24.480]   2015
[00:09:24.480 --> 00:09:27.520]   Yes, exactly. Yeah. I found yeah, I found it in the archive
[00:09:27.520 --> 00:09:33.120]   I noticed that you started out with on sports and helping athletes with muscle performance
[00:09:33.600 --> 00:09:36.320]   Uh back then that was your that was the the opening
[00:09:36.320 --> 00:09:43.040]   The opening, uh, you know a pitch for uh for the product is you know, that's literally three years after the fussy moose's study
[00:09:43.040 --> 00:09:48.720]   Uh when ccc came on on the horizon for health supplements. So there so that was born back then
[00:09:48.720 --> 00:09:51.600]   Uh, and since 2015 so you're going on almost
[00:09:51.600 --> 00:09:58.320]   Uh coming up on 10 years now. Well, no, no actually actually I started working on carbon 16
[00:09:58.720 --> 00:10:07.760]   Really different project I started in in in in in 2012. Oh, okay. Um, so I actually developed the process to produce the
[00:10:07.760 --> 00:10:14.240]   The carbon 60 that we use in 2012 and it took a you know, it took a while and you know a
[00:10:14.240 --> 00:10:20.720]   It was interesting story is what you know when I started making this uh carbon 60 powder
[00:10:20.720 --> 00:10:26.720]   Um, it's very small. It's very hard to contain. So it ended up filling a cloud in my whole
[00:10:27.680 --> 00:10:35.360]   Laboratory but now I was in there for oh gosh a lot of long time six or eight hours breathing it in through my lungs and that was in 2012
[00:10:35.360 --> 00:10:38.160]   And um and excuse me, but
[00:10:38.160 --> 00:10:42.320]   It I breathe in so much of it. My stools were were black
[00:10:42.320 --> 00:10:44.800]   And I I said, oh my gosh, you know what?
[00:10:44.800 --> 00:10:49.920]   This was the very beginning when I first started making the carbon 60 or converting it as a conversion process
[00:10:49.920 --> 00:10:55.840]   And um, I thought I might have toxified myself and that was 2012 and I said, oh my gosh
[00:10:56.080 --> 00:11:00.880]   I went home I opened the door cracked some light in and you see the whole room was full of this black
[00:11:00.880 --> 00:11:04.960]   Mist or dust and um, so I said, oh jeez
[00:11:04.960 --> 00:11:05.920]   I thought I made it
[00:11:05.920 --> 00:11:12.160]   toxified myself or something like that so I went home that evening and I got on a computer and started researching carbon 60
[00:11:12.160 --> 00:11:15.840]   And I studied everything I read stayed on the on the computer for about 18 months
[00:11:15.840 --> 00:11:20.880]   And I read everything out to you that was talked about carbon 60 as much as I could and in the meantime
[00:11:20.880 --> 00:11:25.680]   I go back to the laboratory and and work on the um, you know, making some more carbon 60
[00:11:25.680 --> 00:11:29.760]   The more I did the more I got interested and then then we started going door to door
[00:11:29.760 --> 00:11:32.080]   or like about
[00:11:32.080 --> 00:11:36.320]   2013 the end of 2013 and um, we had a
[00:11:36.320 --> 00:11:41.280]   I printed my own little labels on a bottle and stuck them on there on my my printing machine
[00:11:41.280 --> 00:11:44.560]   We got to have these craft paper looking labels two by twos
[00:11:44.560 --> 00:11:50.320]   And I I went to uh, you know, various chiropractors or natural paths or different doctors
[00:11:50.320 --> 00:11:52.560]   Just you know kind of say, hey try this out, you know
[00:11:52.560 --> 00:11:58.880]   Because I tried it onto myself and I had no negative effects when I took that massive amount of carbon 16 in my body
[00:11:58.880 --> 00:12:01.840]   There was no downside the only downside was black stools
[00:12:01.840 --> 00:12:06.000]   But I felt the cleansing but that's not a scientific fact, but I felt like it was cleansed
[00:12:06.000 --> 00:12:10.480]   And so I knew there was no negatives or downsides of toxicity to product
[00:12:10.480 --> 00:12:17.600]   And that at the same time that 2012 that's when the uh, you know, people started looking at that's when a baddy study came out
[00:12:17.600 --> 00:12:21.680]   Said it doubled the lifespan and there were two companies out there selling it
[00:12:21.680 --> 00:12:27.760]   There was tom martin with carbon 60 olive oil out of chico california and sera vata with vata wellness out of
[00:12:27.760 --> 00:12:32.160]   uh, checklist of aquia. There were two companies selling carbon 60 at the time
[00:12:32.160 --> 00:12:37.920]   And so I said wow jeez they got and they're using solvent extracted carbon 60
[00:12:37.920 --> 00:12:41.040]   And I said I don't use any solvents in my process anywhere
[00:12:41.040 --> 00:12:47.440]   So there's not a trace amount or nothing or we don't have to vacuum dry it off or nothing because it's not in there
[00:12:48.080 --> 00:12:51.520]   And the particles are very very small. That's that's the most important factor
[00:12:51.520 --> 00:12:53.760]   But anyways, they started so I started to say well
[00:12:53.760 --> 00:12:59.680]   I'm gonna go door to door and I started trying it on friends and family with positive really good results and then went into
[00:12:59.680 --> 00:13:06.160]   uh, like I said into you know doctors offices and chiropractors and natural paths and they started selling it
[00:13:06.160 --> 00:13:10.960]   And um, yeah, that's when then the business took off when cliff high spoke about it
[00:13:10.960 --> 00:13:17.280]   And uh 2017 august 26 2017. Yeah, that's when it exploded for sure
[00:13:17.920 --> 00:13:21.680]   So because so I got to ask you though, but I'm even so so you were tinkering around
[00:13:21.680 --> 00:13:29.440]   Uh with producing your own carbon 60 before the body study came out. So what what interested you in making the change from
[00:13:29.440 --> 00:13:32.480]   uh carbon scientists for the aerospace industry to
[00:13:32.480 --> 00:13:39.200]   You know car, you know starting to tinker around with carbon for for health and wellness. I mean what was the inspiration for that?
[00:13:39.200 --> 00:13:41.200]   I for that concept well, I
[00:13:41.200 --> 00:13:46.160]   In the aerospace business, it's a you work for the defense industry most of the time
[00:13:46.800 --> 00:13:51.520]   And it's really not defense. It's really offense. They call it defense history. What are you making?
[00:13:51.520 --> 00:13:53.600]   moms or
[00:13:53.600 --> 00:13:54.960]   devices or
[00:13:54.960 --> 00:13:57.440]   the lasers for you know for
[00:13:57.440 --> 00:14:02.640]   Actually offensive use, you know, the defense industry is really offensive industry
[00:14:02.640 --> 00:14:07.840]   And I got tired of you know making things of mass destruction and and hurting that would hurt people eventually
[00:14:07.840 --> 00:14:15.360]   Um, no kill them. And um, so I decided to quit and my parents, you know, they they threw their hands up and air
[00:14:15.360 --> 00:14:18.240]   So what are you doing? You got a great job and blah, blah, blah, why are you quitting?
[00:14:18.240 --> 00:14:23.920]   And I said, well, you know, these are my reasons. I wanted to help I want to help humanity instead of you know destroy it
[00:14:23.920 --> 00:14:26.400]   and so that's when I started in
[00:14:26.400 --> 00:14:30.320]   1990 I quit the aerospace business and started
[00:14:30.320 --> 00:14:34.960]   And I've done other other products to that a health and human performance
[00:14:34.960 --> 00:14:42.080]   Two of them that everybody would know about is we had a famous cyclist and a tour de france that was winning
[00:14:42.640 --> 00:14:48.320]   and uh, he we didn't see his particular name, so I don't want to mention his name, but we didn't see his name on the
[00:14:48.320 --> 00:14:49.600]   um
[00:14:49.600 --> 00:14:54.720]   purchase order, but we did send one to austin texas and his name was mentioned quite frequently
[00:14:54.720 --> 00:15:02.320]   And so we knew who he was and he started winning the tour de france, you know, and and and that was with one of the altitude chambers that I was building
[00:15:02.320 --> 00:15:07.040]   I just developed a altitude simulation. So when you simulate higher altitudes
[00:15:07.440 --> 00:15:10.480]   Your body acclimates to that developing more red blood cells
[00:15:10.480 --> 00:15:15.040]   And so you get about 20 more red blood cells when you acclimate to about 15 000 feet
[00:15:15.040 --> 00:15:20.880]   So you could go into this low barometric pressure chamber a vacuum chamber you get inside of it and it would actually
[00:15:20.880 --> 00:15:23.120]   uh pull the air
[00:15:23.120 --> 00:15:24.400]   out of you
[00:15:24.400 --> 00:15:28.720]   I don't have a picture of one here, but I did I have a website helpabaric.com
[00:15:28.720 --> 00:15:33.200]   and um, and so a lot of athletes started using that and
[00:15:33.920 --> 00:15:39.280]   Similarly, I then in the early 1990s. I worked on the the modern day shoe spring
[00:15:39.280 --> 00:15:45.760]   Yeah, the people knocked it off like the erinike the Zeke oil those springs that are in the heels of running shoes
[00:15:45.760 --> 00:15:50.960]   See, I made them out of carbon fiber, which are very lightweight, but they were very expensive and so you know
[00:15:50.960 --> 00:15:53.280]   adidas a six reebok and nike
[00:15:53.280 --> 00:15:55.120]   They were not interested because
[00:15:55.120 --> 00:15:59.120]   It was just too expensive to put into their product line for their you know, 20
[00:15:59.520 --> 00:16:03.600]   I mean 20 times mark-up that they would sell their shoes for
[00:16:03.600 --> 00:16:09.200]   So they knocked it off and put some springs and you know air and stuff like that into it
[00:16:09.200 --> 00:16:14.400]   So so I played a part not so I worked and you know, I did some I worked a little bit from
[00:16:14.400 --> 00:16:17.600]   for nadclabs, which is the the us army
[00:16:17.600 --> 00:16:19.040]   um
[00:16:19.040 --> 00:16:24.960]   R&D center where we made some like exoskeleton so so people could lift more weights and so forth like that
[00:16:24.960 --> 00:16:27.600]   Like yeah, put some springs on outside of their legs so they could
[00:16:28.080 --> 00:16:31.520]   You know lift up and pick some more weights and you know, we played around with different stuff with
[00:16:31.520 --> 00:16:35.280]   with working for nadclabs to also with my company
[00:16:35.280 --> 00:16:41.520]   Then I got into the carbon 60. Yeah, that's fascinating. So I guess the like I think the key thing for
[00:16:41.520 --> 00:16:47.600]   For folks that are not deep into you know carbon 60 since is you know synthesizing carbon 60 or
[00:16:47.600 --> 00:16:52.480]   Or I guess you put it a different way, but you know the typical way
[00:16:53.200 --> 00:16:58.320]   That everyone does it right is they take a source material of carbon and they just use an arc reactor
[00:16:58.320 --> 00:17:05.760]   And blast it into fullerene soot and then and then they uh then they use chemicals to to extract the c60 from the soot
[00:17:05.760 --> 00:17:11.440]   But you because you started off in a completely different direction on your own
[00:17:11.440 --> 00:17:17.600]   Um, I know that it's proprietary. So we won't get into the how you do it, but I guess the the thing about
[00:17:17.600 --> 00:17:22.480]   Um, you know, the griscus carbon 60 is it's very different
[00:17:22.960 --> 00:17:25.440]   Uh, then all of the other commercial products out there
[00:17:25.440 --> 00:17:30.480]   I just want to stipulate that for those of you who don't know and so bob and air are going to get into what makes it different
[00:17:30.480 --> 00:17:36.080]   Um, and and that is the main difference is that it doesn't go through the typical process
[00:17:36.080 --> 00:17:39.360]   Of you know arc reactor solar fullerene soot
[00:17:39.360 --> 00:17:46.080]   Using a sock leg extractor and then using chemical, you know, I think it's called color or chromatography right
[00:17:46.080 --> 00:17:51.520]   Uh to extract using you know using solvents like benzene and toluene and so forth
[00:17:51.520 --> 00:17:56.800]   So it doesn't do any of that stuff. So, you know, bob you literally just found a way because of your background
[00:17:56.800 --> 00:17:58.480]   uh taking
[00:17:58.480 --> 00:18:03.680]   Uh carbon source right and then extracting c60 or yeah, I guess extracting because it's in there
[00:18:03.680 --> 00:18:09.840]   Uh, and then taking that out of that to produce your product. So very impressive very impressive that you have a way
[00:18:09.840 --> 00:18:12.960]   And so it's more of a what we use is more of a
[00:18:12.960 --> 00:18:19.760]   Not that they have the carbon arc solvent extraction process and that's where everybody makes it commercially and everybody else out there
[00:18:19.760 --> 00:18:24.400]   Except for me. We did we do a conversion process. So we take something with carbon
[00:18:24.400 --> 00:18:28.080]   We strip it all every strip everything off of it. Everything does come off
[00:18:28.080 --> 00:18:33.600]   So we're left with carbon and then we reformulate or reposition it into a spherical shape
[00:18:33.600 --> 00:18:36.320]   and um
[00:18:36.320 --> 00:18:38.320]   Through some
[00:18:38.320 --> 00:18:41.120]   Magic
[00:18:41.120 --> 00:18:47.440]   We we we we we we we we we focus these down or we start them out as a sphere on a macro scale
[00:18:47.440 --> 00:18:53.040]   And and sort of push that pushing down this um like this magnetic funnel or something that you might call it like that
[00:18:53.040 --> 00:19:00.480]   Is magnet magnetism involved and at the focal point we push out, you know billions of uh carbon 60 molecules a second
[00:19:00.480 --> 00:19:05.760]   And um, yeah, but there's no solvents involved and it's right from the get-go. They're independent
[00:19:05.760 --> 00:19:10.960]   They're small. They're not clustered together and you know, that's what sets us apart is the bioavailability
[00:19:10.960 --> 00:19:15.200]   Of our carbon 60 in our products. Yeah, no, it's that's amazing
[00:19:15.680 --> 00:19:19.280]   Uh, so you know, let's talk about your products. So the last time you and I chatted was years ago
[00:19:19.280 --> 00:19:24.240]   But it was like your flagship product was this very first one called your griscus carbon 60
[00:19:24.240 --> 00:19:32.160]   um, and that's where you uh have the your c60 in uh organic sunflower oil, right? Is that correct?
[00:19:32.160 --> 00:19:36.160]   That is correct. Can you talk to you like, okay, so that's your flagship product
[00:19:36.160 --> 00:19:40.560]   And that's the product that uh, you know, you know, you'll mostly find if you go anywhere
[00:19:40.560 --> 00:19:44.640]   Now uh carbon 60s available and you'll find it in all sorts of different oils
[00:19:45.120 --> 00:19:50.080]   Um, but it's completely different chemical process that is, you know, that those other products are made
[00:19:50.080 --> 00:19:55.840]   And so we'll like I'd like to talk a little bit more about, you know, like this specific product in in organic sunflower oil
[00:19:55.840 --> 00:19:59.600]   But before we get into that, which is the basis of the discussion here is
[00:19:59.600 --> 00:20:02.720]   Is you I noticed you've come up with new products in the last few years
[00:20:02.720 --> 00:20:07.760]   And I was wondering if you could kind of just explain like, you know, what are these new products and and what are you finding?
[00:20:07.760 --> 00:20:10.240]   Uh, you know hearing from customers that are trying them
[00:20:11.280 --> 00:20:21.040]   Well, we use uh on the sunflower oil we use a a very low linoleic acid omega-6 is most sunflower oil has, you know, high omega-6 is
[00:20:21.040 --> 00:20:27.280]   but so but our source of during the ukraine war started up, um
[00:20:27.280 --> 00:20:33.200]   And ukraine produces 78 percent of the sunflower crop for the world
[00:20:33.200 --> 00:20:37.360]   And so so we said, oh gosh, you know, we can't get it from our traditional
[00:20:37.840 --> 00:20:42.240]   Supplier that produces the high quality the low linoleic acid sunflower
[00:20:42.240 --> 00:20:48.720]   So we got it from another source, which was which was compatible, but it just had a heavier taste to it
[00:20:48.720 --> 00:20:52.080]   It was a little oilier texture and you can taste the sunflower seeds more
[00:20:52.080 --> 00:20:58.880]   And so we said well, okay, let's revisit the the water product the topical mist that's carbon-16 water
[00:20:58.880 --> 00:21:03.120]   And we we started that out. Oh gosh probably six years ago
[00:21:03.760 --> 00:21:06.960]   We we did some testing of putting carbon-16 in water
[00:21:06.960 --> 00:21:13.280]   And it's very difficult. It's like mixing oil and water together. Once pulled or once non-pulled, they don't mix together
[00:21:13.280 --> 00:21:19.520]   So you got to be you know, you got to so I I developed a special process to kind of i'm a process engineer
[00:21:19.520 --> 00:21:26.480]   I developed a special process. I have tricks up my sleeve of putting it together and it took a while, you know from six years ago
[00:21:26.480 --> 00:21:29.040]   We did it and we mixed it up
[00:21:29.040 --> 00:21:31.440]   And put it in water
[00:21:31.440 --> 00:21:36.960]   And then it would settle out or start clinging to the sides of such clustering. It took about three days
[00:21:36.960 --> 00:21:43.920]   But we did get some testing done. We'd mix it up and run it over to Denver University. They were testing it on live rat brain
[00:21:43.920 --> 00:21:49.040]   And um, they put live rat brain a slice that they put it in a petri dish
[00:21:49.040 --> 00:21:51.600]   Sorry about all this details gory details
[00:21:51.600 --> 00:21:56.880]   But they put it in a petri dish and they put this water-based liquid in there that has sugar and whatever else it has in there
[00:21:57.280 --> 00:22:03.600]   To keep the the rat brain alive and then they would take it and they would add hydrogen peroxide. That's a standard test
[00:22:03.600 --> 00:22:06.240]   They add hydrogen peroxide and they would see
[00:22:06.240 --> 00:22:11.040]   uh, like 80 percent cell death in 24 hours on the brain tissue
[00:22:11.040 --> 00:22:15.920]   And they used my we made it up real quick raining over there within a couple hours
[00:22:15.920 --> 00:22:20.480]   They put it in there and tested it and they would and with the carbon 60 added to that
[00:22:21.040 --> 00:22:28.720]   Petri dish they cut the the cell death in half. So it protected it was only 40 percent cell death in 24 hours
[00:22:28.720 --> 00:22:33.920]   With the carbon 60 water-based product in there, but we could never get it to stay in
[00:22:33.920 --> 00:22:39.760]   to solution or say suspended or whatever you want to call it in any of this suspension
[00:22:39.760 --> 00:22:42.560]   So we had a lot of difficulty with that, but until
[00:22:42.560 --> 00:22:49.200]   Um, you know, we have the potential, uh, you know, sunflower or disappear and I said well, then gee if we don't have any sunflower oil
[00:22:49.680 --> 00:22:52.720]   Uh, we think it's the best oil to put it in because it has a very long shelf life
[00:22:52.720 --> 00:23:00.560]   So we started using the do putting it into topical mist the water product and I developed a process to keep it in suspension
[00:23:00.560 --> 00:23:06.640]   And so that's the topical mist. It's a spray on it's much more user friendly you can spray it on your skin
[00:23:06.640 --> 00:23:10.400]   And it dries within a few minutes and it penetrates within a few minutes too
[00:23:10.400 --> 00:23:15.120]   So you get pretty quick pretty quick to two to two-minute results if you have any pain
[00:23:15.120 --> 00:23:17.440]   That's where we put on a mist away your pain
[00:23:18.080 --> 00:23:20.080]   And it works very good with that
[00:23:20.080 --> 00:23:24.560]   Yeah, you know, I wanted to ask you about this because I just did a video on hydroxylated c60
[00:23:24.560 --> 00:23:30.480]   You know water soluble, but you know all the research that I found was that you know, it's c60 is hydrophobic and
[00:23:30.480 --> 00:23:34.960]   You know, it's just it's just gonna settle out and just go to the bottom if you just put it with water
[00:23:34.960 --> 00:23:40.400]   So is that just water in there and c60 and you found a way to get it to bond
[00:23:40.400 --> 00:23:43.040]   Yeah, we found a way to get it to bond
[00:23:43.280 --> 00:23:46.720]   There's a way to do it is kind of it's there's a there's a London
[00:23:46.720 --> 00:23:52.480]   They call it a London dispersion force that you can actually it forms a bridge between
[00:23:52.480 --> 00:23:55.360]   the the water molecule and the
[00:23:55.360 --> 00:23:58.560]   carbon 60
[00:23:58.560 --> 00:24:04.240]   You know, there's this hydroxylated carbon 60 also too where they actually add an o-h on to it
[00:24:04.240 --> 00:24:08.960]   And these are these are these forces these these London dispersion forces
