
[00:00:00.000 --> 00:00:03.140]   Aloha everyone and welcome to another tinker's academy video
[00:07:09.760 --> 00:07:14.320]   It's basically gonna be a substance any type of substance out there that you want to add
[00:07:14.560 --> 00:07:18.800]   That you can actually embed into that foil now if you have a block you can do other types of
[00:07:18.800 --> 00:07:23.880]   Frequencies beyond just physical substances. You can actually add a resident frequency
[00:07:23.880 --> 00:07:30.360]   So if you're into like, you know that is it, you know, isochronic tones the sulfegio tones, you know, right frequencies
[00:07:30.360 --> 00:07:35.320]   All those kinds of things can be embedded, but you need a block to do that. Okay, just as I heads up another video
[00:07:35.320 --> 00:07:40.320]   Okay, so then the way to do that now there is a tutorial on Leila Q's
[00:07:40.800 --> 00:07:45.440]   YouTube channel called How to Copy Frequencies with the Leila Quantum capsule video
[00:07:45.440 --> 00:07:52.880]   In the video description below, I'll provide I'll provide a link to that video now if you just watch this three little three-minute video by Philip
[00:07:52.880 --> 00:07:57.000]   We'll just show you how to use the spheres themselves. So you would basically take
[00:07:57.000 --> 00:08:03.880]   These five little spheres and you clump them up put them in a little what I call a sphere packet like a little piece of foil
[00:08:03.880 --> 00:08:09.720]   With the spheres inside of it and you can use that to copy frequencies onto a piece of foil that you put inside
[00:08:09.720 --> 00:08:14.360]   So you if you already just all you have you don't need to have a block if you just have the capsule
[00:08:14.360 --> 00:08:19.040]   You bought the neutral capsule while you have the spheres and now you can go ahead and add frequencies to it
[00:08:19.040 --> 00:08:23.080]   And turn it into any type of capsule that you want or if you have a block
[00:08:23.080 --> 00:08:25.720]   I'll show you how to do that as well on this really super easy with the block
[00:08:25.720 --> 00:08:28.960]   So now I'm gonna give you a little demo kind of walk you through it
[00:08:28.960 --> 00:08:32.600]   And let's talk about what you get now when you first
[00:08:32.600 --> 00:08:37.400]   Receive your super capsule. It's gonna come in this purple satchel or pouch
[00:08:37.920 --> 00:08:42.440]   And it's gonna have the little, you know rope necklace that you can use or you can make your own
[00:08:42.440 --> 00:08:45.960]   It's gonna have the five purple spheres the one little silver sphere
[00:08:45.960 --> 00:08:50.480]   This is your inner piece frequency and of course the capsule itself in this little baggie, okay?
[00:08:50.480 --> 00:08:55.040]   So that's what you're gonna get now if you want to make your own frequency
[00:08:55.040 --> 00:08:59.080]   Foil to put inside so that like you could make it, you know your own
[00:08:59.080 --> 00:09:03.680]   Separate little you know quantum energy capsule with your own special frequency
[00:09:03.680 --> 00:09:10.680]   Then what you're gonna do is you're gonna want to take a piece of foil like this and you want to want to make it the width of the capsule itself
[00:09:10.680 --> 00:09:13.720]   So that's kind of important because you want it to roll up and put it inside the capsule
[00:09:13.720 --> 00:09:18.240]   Now I go with about like a four inch length you could use a three inch length or two inch length
[00:09:18.240 --> 00:09:18.720]   You know
[00:09:18.720 --> 00:09:21.200]   But either one works then what you do with that piece of foil
[00:09:21.200 --> 00:09:26.040]   If you cut it out is you fold it up into a little square and the reason you need to have it to be a little square
[00:09:26.040 --> 00:09:28.920]   Because you want it to fit under the under the packet of spheres
[00:09:28.920 --> 00:09:35.720]   so in this example here I've taken just a capsule of lion's mane and it basically opened it up and put some of the lion's mane on top of
[00:09:35.720 --> 00:09:43.640]   The little full you know the foil that's all folded up and then you just go ahead you take your little sphere packet that Phillip talks about in his video
[00:09:43.640 --> 00:09:47.880]   And you put it on top of that and then you just put it on there for 20 minutes minimum
[00:09:47.880 --> 00:09:54.080]   You can do up to 30 that's fine, and then what that's gonna do is that's going to then take the frequency of the lion's mane
[00:09:54.080 --> 00:09:57.420]   Right, and it's gonna embed that molecular frequency into that foil
[00:09:57.600 --> 00:09:59.600]   Okay, now if you have a card
[00:09:59.600 --> 00:10:03.280]   Then you take the card now what I kind of do and Phillip showed it a little differently
[00:10:03.280 --> 00:10:07.640]   But what I do is I place my card so that the corner of the card is directly over the foil
[00:10:07.640 --> 00:10:14.080]   So that I know exactly where the foil is under the card so that when I put the packet of spheres on it
[00:10:14.080 --> 00:10:17.640]   I know exactly where to put the spheres. You know it's just a little more accurate, but bottom line
[00:10:17.640 --> 00:10:22.760]   That's exactly how you would copy a frequency off of a card onto that piece of foil
[00:10:22.760 --> 00:10:26.520]   Now if you have a liquid then you're gonna want you can't use the bottle right because it's too
[00:10:26.520 --> 00:10:31.080]   It's too wide. So you just put a drop of the of the essential oil onto that foil
[00:10:31.080 --> 00:10:34.320]   Take the sphere packet put it on top 20 to 30 minutes
[00:10:34.320 --> 00:10:38.160]   Boom now if you saw that was a mer and central oil one of my favorites
[00:10:38.160 --> 00:10:44.480]   And then it's gonna take the molecular frequency of the essential oil and embed that into that little tiny piece of foil
[00:10:44.480 --> 00:10:46.880]   So then it's that after 20 30 minutes
[00:10:46.880 --> 00:10:52.040]   Then you would take that piece of foil unfold it and then what I do is I wrap it around a pen
[00:10:53.160 --> 00:10:59.080]   To kind of make a little cone shape because now you're gonna insert that piece of foil into the capsule
[00:10:59.080 --> 00:11:03.600]   Okay, and you want it to be like a liner on the inside of the capsule
[00:11:03.600 --> 00:11:08.880]   So that basically the entire inside of the capsule has now has the frequency foil
[00:11:08.880 --> 00:11:14.400]   So that the spheres are inside the foil right so that when the spheres broadcast outward
[00:11:14.400 --> 00:11:20.160]   They have to broadcast through that foil which then basically emits that frequency into the field
[00:11:20.160 --> 00:11:26.480]   So then what I do and this is kind of a little trick is you want to put the foil okay inside the cap and
[00:11:26.480 --> 00:11:29.920]   It's all because of how the threads work in the capsule
[00:11:29.920 --> 00:11:36.400]   So I put the foil inside the cap and as you can see I put then I put the spheres inside the foil and then you just
[00:11:36.400 --> 00:11:41.720]   Screw it together. So now as you can see the spheres are inside the foil inside the capsule
[00:11:41.720 --> 00:11:45.320]   And now if this was let's say a mer frequency foil
[00:11:45.320 --> 00:11:51.400]   I have now just taken my neutral energy capsule, and I've turned it into a mer it's now
[00:11:51.400 --> 00:11:57.760]   It's not broadcasting mer you know mer frequency in the quantum energy capsule and that's how to do that now
[00:11:57.760 --> 00:12:03.200]   For those of you folks who own a block the process to copy a frequency on the piece of foil is really quite simple
[00:12:03.200 --> 00:12:08.840]   Philip does have a tutorial on the on the YouTube channel called Layla Quantum Block Brief summary video
[00:12:08.840 --> 00:12:13.200]   And I mean link in the video description below where he kind of just tells you how to go about doing it
[00:12:13.200 --> 00:12:19.440]   So for those of you have a block you might want to take a peek at this video the copy frequency part in that video is at the
[00:12:19.440 --> 00:12:25.760]   2.5 minute mark so you can just go jump right to it and take a look at how he describes how to do it
[00:12:25.760 --> 00:12:26.760]   It's really quite simple
[00:12:26.760 --> 00:12:31.560]   He's basically put in you know the source of the frequency in the piece of oil for the allotted time
[00:12:31.560 --> 00:12:36.480]   And that's it and you can make any kind of frequency as you want now for those of you who are thinking hey
[00:12:36.480 --> 00:12:37.840]   What if I want to combine?
[00:12:37.840 --> 00:12:42.600]   You know like six different supplements and I want to put that into my sphere or I want to put that into a piece of
[00:12:42.600 --> 00:12:48.680]   Oil to put it in my sphere. Well, then you use a block you need to have a block because then you can combine all of those different things
[00:12:48.680 --> 00:12:54.280]   Inside the block with a piece of foil in that foil will hold the frequency of multiple different sources
[00:12:54.280 --> 00:12:59.480]   So that's how you would do that. Otherwise, you know, that's it for the tutorial. Thank you very much for your time
[00:12:59.480 --> 00:13:03.560]   I really appreciate your you know your your time today and watching this video
[00:13:03.560 --> 00:13:05.240]   Thanks for your kind comments
[00:13:05.240 --> 00:13:10.880]   And if you have any questions you can find us on Telegram or you can go to lay like you website or you can come to the tinker's
[00:13:10.880 --> 00:13:15.400]   Academy my blog where you can I've got a huge section all about quantum energy and a whole bunch of other tutorials
[00:13:15.400 --> 00:13:21.280]   For Layla products. So again, thank you very much for your time. I hope this was helpful. Have a great day a lot

